title,author,file
"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/superfreakonomics_global_cooling_patriotic_prostitutes_and_why_suicide_bombers_should_buy_life_insurance/superfreakonomics_global_cooling_patriotic_prostitutes_and_why_suicide_bombers_should_buy_life_insurance.mp3
How Google Works,Eric Schmidt,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/how_google_works/how_google_works.mp3
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_tipping_point_how_little_things_can_make_a_big_difference/the_tipping_point_how_little_things_can_make_a_big_difference.mp3
The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,Jonathan Haidt,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_happiness_hypothesis_finding_modern_truth_in_ancient_wisdom/the_happiness_hypothesis_finding_modern_truth_in_ancient_wisdom.mp3
Principles: Life and Work,Ray Dalio,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/principles_life_and_work/principles_life_and_work.mp3
Astrophysics for People in a Hurry,Neil deGrasse Tyson,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/astrophysics_for_people_in_a_hurry/astrophysics_for_people_in_a_hurry.mp3
The Laws of Human Nature,Robert Greene,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_laws_of_human_nature/the_laws_of_human_nature.mp3
Money and Power: How Goldman Sachs Came to Rule the World,William D. Cohan,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/money_and_power_how_goldman_sachs_came_to_rule_the_world/money_and_power_how_goldman_sachs_came_to_rule_the_world.mp3
The Consolations of Philosophy,Alain de Botton,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_consolations_of_philosophy/the_consolations_of_philosophy.mp3
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_five_dysfunctions_of_a_team_a_leadership_fable/the_five_dysfunctions_of_a_team_a_leadership_fable.mp3
