uuid_1,uuid_2,title,subtitle,author_1_given_name,author_1_middle_name,author_1_surname,author_2_given_name,author_2_middle_name,author_2_surname
bot:00685999-1754-4316-951b-f9f77bbd0605,aud:192fde47-5f76-408a-b936-b1a59c1413a9,0.31689020833838755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:013010a4-0f9c-4c29-94cc-f72d9e2e8b4c,aud:3048a828-349f-49f6-b111-a5da007ee2ca,1.0,0.0,1.0000000000000004,0.0,1.0,0.0,0.0,0.0
bot:02706bb7-fca5-44a4-a4ff-52d62abf49c7,aud:bf4936f8-feba-4db2-9906-982ad4b8d2c2,0.4006394901661016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:02ac0dc5-f56b-4487-abd7-5f9f598c9ac7,aud:22b466bf-5864-453d-ab1d-7c5b894c26f1,0.10858386601823086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:02ac0dc5-f56b-4487-abd7-5f9f598c9ac7,aud:d08faf8e-c2b5-4126-a9df-cf42b084f78b,0.15324476063214795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:035e04e6-867f-40f9-be55-e349854bf88e,aud:701b7194-309f-4457-9d46-7472713672ac,0.016572728385848518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0374059d-7ae0-413c-8747-7e6365fe6dcf,aud:93ca1326-9ec1-4f4a-b4b2-27c13a0ebddd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:03ca8dd8-1906-4332-8757-1751fa72c0c4,aud:22b466bf-5864-453d-ab1d-7c5b894c26f1,0.06211384759827675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:03ca8dd8-1906-4332-8757-1751fa72c0c4,aud:d08faf8e-c2b5-4126-a9df-cf42b084f78b,0.05659365450490343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:03f98678-14bf-4fad-8346-6bd2f08b4e03,aud:158895c3-fb1b-45ee-8cac-3f60eb37c9a6,0.0,0.0,0.9999999999999994,0.0,1.0,0.0,0.0,0.0
bot:03f98678-14bf-4fad-8346-6bd2f08b4e03,aud:2d3adcc9-9a65-4f98-a300-8086768f3b94,1.0,0.0,0.9999999999999994,0.0,1.0,0.0,0.0,0.0
bot:03f98678-14bf-4fad-8346-6bd2f08b4e03,aud:9612f946-f1d9-4a51-9e5a-b8a0d13ff18e,0.0,0.0,0.9999999999999994,0.0,1.0,0.0,0.0,0.0
bot:03f98678-14bf-4fad-8346-6bd2f08b4e03,aud:d8dac75f-f8f7-47f5-96c4-8513cd7ea4db,0.0,0.0,0.9999999999999994,0.0,1.0,0.0,0.0,0.0
bot:03f98678-14bf-4fad-8346-6bd2f08b4e03,aud:f75d9f59-6e35-40f8-991d-38f9e40eb987,0.01311241515117359,0.0,0.9999999999999994,0.0,1.0,0.0,0.0,0.0
bot:03ff6615-5cd7-4ec6-b469-6c195ad6e9d3,aud:dc63c369-2832-4974-be89-0f6117ed014e,0.15390768683812814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:04d06381-56a9-497d-9d0c-e071385b66a3,aud:40d24fb3-ee87-46f2-b62a-5d540f0ceae1,0.033945565725928294,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
bot:04e40844-fa5e-4f31-a7ef-23748ad4365c,aud:0fd5f733-3f84-495a-8851-fb8fe202a262,0.06255537590592633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0619e3c1-00af-43e5-ad8d-c695f37bdad5,aud:5cacb76a-a76e-407c-b3de-a6262c545dd9,0.0388908904300579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0626d293-b818-4a17-bfed-55cdc1928974,aud:34088fb5-6218-45ba-b209-c8333cbcacf2,0.029939137504013703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0628b288-5fcb-43b5-a772-109289ac40df,aud:3d3608a4-9055-4a40-b06a-23a26d641375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:06caec86-0cb0-4ea1-aa30-78e8c572b7d1,aud:5af951d7-a415-4d2b-8a5f-e12260205dc8,0.02458821997551489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:092cd98d-34e1-44ac-9c27-7e1910d4bfa5,aud:5af951d7-a415-4d2b-8a5f-e12260205dc8,0.01730219754474093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0a143af0-1450-40a5-b1e7-bca25b071066,aud:4068cbd6-92ed-470c-832a-6adc9fe3f8ea,0.014479845095619911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0a3dc8a4-0a0f-4f8a-a6f6-b933195b892b,aud:c4e0d595-7e4f-4e41-b126-48bddf1028a8,0.022639739233635933,0.0,0.0,0.0,0.4803693025925824,0.0,0.0,0.0
bot:0a3dc8a4-0a0f-4f8a-a6f6-b933195b892b,aud:f97d5b71-28e8-4699-8019-43c50d2a7b68,0.0,0.0,1.0000000000000002,1.0,1.0000000000000002,0.0,0.0,0.0
bot:0a914775-ad81-4bc1-80d3-fa9bd51f4ef2,aud:88ebadc8-5c4f-4cbe-8a8b-bf4568235334,0.13227485941109285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0ab6792b-d2d1-4343-981f-24769d0ee314,aud:fd1d7918-2533-4d28-a1c3-aa51f6f69a85,0.024582077610466338,0.0,0.0,0.0,0.5215554669138339,0.0,0.0,0.0
bot:0cc7b968-47bf-474b-a14f-d31e95068702,aud:7325dc5b-d813-4df4-832d-8c176cb2a778,0.013515119731215924,0.0,0.0,0.0,0.08020295246523934,0.0,0.0,0.0
bot:0d093d69-d2fb-4834-9df0-f397b1c7dfc6,aud:0fd5f733-3f84-495a-8851-fb8fe202a262,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
bot:0d093d69-d2fb-4834-9df0-f397b1c7dfc6,aud:29754f02-0b74-49e5-9108-eac77f055895,0.04066134341243221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0d093d69-d2fb-4834-9df0-f397b1c7dfc6,aud:5c257567-c3f7-4ca8-bf81-25649db072a9,0.04066134341243221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0dac5fe2-7efb-489b-a2f3-186d9c9f2f13,aud:701b7194-309f-4457-9d46-7472713672ac,0.018877624146835737,0.11666236717543411,0.0,0.0,0.0,0.0,0.0,0.0
bot:0df8fc58-0e54-449a-8e59-27346ef494a5,aud:896a6acb-d722-448f-b441-7148436420dd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0df8fc58-0e54-449a-8e59-27346ef494a5,aud:9d851499-866c-4371-b9ee-0d9bc8d9aba2,0.0,0.0,0.0,0.0,0.12216912880616734,0.0,0.0,0.0
bot:0e18e2b0-27f8-49f2-a096-113056348e19,aud:79e1ebdd-2a31-4b16-8f89-fa86af80425e,0.048522060676346526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0e18e2b0-27f8-49f2-a096-113056348e19,aud:f97d5b71-28e8-4699-8019-43c50d2a7b68,0.03584690594658679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0e5cce62-aa85-4af6-93ea-b1547e7f51f7,aud:0c71f497-f1cd-42f6-97db-1d08c8b80212,0.39792591114881093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0efc2f03-65c5-4654-8238-4dcc7bc1c96a,aud:295dde06-1937-4dfd-9a5a-4e6cf285e613,0.0,0.0,1.0000000000000002,0.0,1.0,0.0,0.0,0.0
bot:0efc2f03-65c5-4654-8238-4dcc7bc1c96a,aud:3b96c30b-d9b6-4330-a0e2-7e0bd5feffb1,0.0,0.0,0.0,0.0,0.783562841608779,0.0,0.0,0.0
bot:0efc2f03-65c5-4654-8238-4dcc7bc1c96a,aud:e82e5be9-de17-402d-948d-1d3dcfd03577,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0,0.0,0.0,0.0
bot:0f035e04-e086-4ef4-a4a3-4cee09738bff,aud:3b96c30b-d9b6-4330-a0e2-7e0bd5feffb1,0.05673187693064768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0f21659f-9f9b-462d-b0ba-6866cd7a4a05,aud:e92ed4ec-26c7-4d3b-b6af-d81ff067b3ea,0.393405101678588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0f59633a-0271-472f-9a6f-32963090cd93,aud:0c71f497-f1cd-42f6-97db-1d08c8b80212,0.23529273086160843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0f7f52fb-8b42-4467-933b-40e52c9694a3,aud:e92ed4ec-26c7-4d3b-b6af-d81ff067b3ea,0.4492049810709815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:0f9af60b-4c7c-4366-84fb-01a67c4bf62f,aud:7325dc5b-d813-4df4-832d-8c176cb2a778,0.017617524551937505,0.0,0.0,0.0,0.24331256882058666,0.0,0.0,0.0
bot:1108f3c3-e798-49da-bf2c-85928039fe1a,aud:e2b875bf-bb9a-4e3e-9d82-9fd6194d10c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:1147128c-9851-4392-941e-9cd2ebe1dc91,aud:acc0f6d8-62f3-48cb-a436-544a02f43910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:11d17ba6-6771-4e32-ae02-80d77504f265,aud:fd1d7918-2533-4d28-a1c3-aa51f6f69a85,0.0,0.0,0.0,0.0,0.47979066279205895,0.0,0.0,0.0
bot:13112273-147c-4065-adc5-bf0f443999f5,aud:4fd48839-a92c-4819-8853-f17b8e879872,0.40393909051088694,0.015651935978389896,0.0,0.0,0.0,0.0,0.0,0.0
bot:131b77ed-d6aa-44ed-b1aa-f748abac8128,aud:e2b875bf-bb9a-4e3e-9d82-9fd6194d10c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:13627bd4-2020-48b4-9ec7-27b7f6f0b865,aud:0592a82a-37f5-45ca-8768-9cf4cc37b38d,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,1.0,0.0,0.0,0.0
bot:13627bd4-2020-48b4-9ec7-27b7f6f0b865,aud:1c1f536d-ce39-4389-96fb-fba84aff480e,0.014483688362884273,0.036176569939380274,0.0,0.0,0.0,0.0,0.0,0.0
